Page,Label,Text
723,25," ,455,200"
723,94," per cent. porters of crude oil. Standard Oil Company, manufac-"
723,400," ,000 Entire. turers of petroleum products. Signal Oil Works (Limited), manu-"
723,100," ,000"
723,38," 3/4 per cent. facturers of petroleum products. Ohio: Consolidated Tank-Line Company,"
723,1," ,000,000"
723,57," per cent. jobbers of petroleum products. Inland Oil Company, jobbers of pe-"
723,50," ,000"
723,50," per cent. troleum products. Standard Oil Company, manufac-"
723,3," ,500,000 Entire. turers of petroleum products. Solar Refining Company, manu-"
723,500," ,000 Do. facturers of petroleum products. Kentucky: "
724,," Standard Oil Company, jobbers of"
724,600," ,000 Do. petroleum products. Maryland: Baltimore United Oil Company,"
724,600," ,000"
724,5," ,059-6,000 manufacturers of petroleum products. West Virginia: Camden Consolidated Oil Com-"
724,200," ,000"
724,51," per cent. pany, manufacturers of petro- leum products. Minnesota: Standard Oil Company, jobbers of"
724,100," ,000 Entire. petroleum products. Missouri: Waters-Pierce Oil Company, job-"
724,400," ,000"
724,50," per cent. bers of petroleum products. Massachusetts: Beacon Oil Company, jobbers of"
724,100," ,000 Entire. petroleum products. Maverick Oil Company, jobbers of"
724,100," ,000 Do. petroleum products. Maine: Portland Kerosene Oil Company,"
724,200," ,000 "
725,," Do. jobbers of petroleum products. Iowa: Standard Oil Company, jobbers of"
725,600," ,000"
725,60," per cent. petroleum products. Continental Oil Company, jobbers"
725,300," ,000"
725,62, 1/2 per cent. of petroleum products. 
726,, 
727,, 
730,1," Counsel for appellants says: ""Of the 38 (37) corporate defendants named in section 2 of the decree and as to which the 
judgment of the court applies, four have not appealed, to wit: Corsicana Refining Co., Manhattan Oil Co., Security Oil Co., 
Waters-Pierce Oil Co., and one, the Standard Oil Co. of Iowa, has been liquidated and no longer exists."""
730,2," Of the dismissed defendants 16 were natural gas companies and 10 were companies which were liquidated and ceased to 
exist before the filing of the petition.  The other dismissed defendants, 7 in number, were: Florence Oil Refining Co., United Oil 
Co., Tidewater Oil Co., Tide Water Pipe Co. (L't'd), Platt & Washburn Refining Co., Franklin Pipe Co. and Pennsylvania Oil Co. "
735,1," Purdy's Beach on Private Corporations, vol. 2, pp. 1403, et seq., chapter on Trusts and Monopolies; Cooke on Trade and 
Labor Combinations, App. II, pp. 194-195; Am. & Eng. Ency. Law, 2d ed., article ""Monopolies and Trusts,"" pp. 844, et seq."
735,1," Swearingen v. United States, 161 U.S. 446; United States v. Wong Kim Ark, 169 U.S. 649; Keck v. United States, 172 U.S. 
446; Kepner v. United States, 195 U.S. 100, 126. "
740,1," SECTION 2.That the defendants John D. Rockefeller, William Rockefeller, Henry H. Rogers, Henry M. Flagler, John D. 
Archbold, Oliver H. Payne, and Charles M. Pratt, hereafter called the seven individual defendants, united with the Standard Oil 
Company and other defendants to form and effectuate this combination, and since its formation have been and still are engaged 
in carrying it into effect and continuing it; that the defendants Anglo-American Oil Company (Limited), Atlantic Refining 
Company, Buckeye Pipe Line Company, Borne-Scrymser Company, Chesebrough Manufacturing Company, Consolidated, 
Cumberland Pipe Line Company, Colonial Oil Company, Continental Oil Company, Crescent Pipe Line Company, Henry C. 
Folger, Jr., and Calvin N. Payne, a copartnership doing business under the firm name and style of Corsicana Refining Company, 
Eureka Pipe Line Company, Galena Signal Oil Company, Indiana Pipe Line Company, Manhattan Oil Company, National Transit 
Company, New York Transit Company, Northern Pipe Line Company, Ohio Oil Company, Prairie Oil and Gas Company, 
Security Oil Company, Solar Refining Company, Southern Pipe Line Company, South Penn Oil Company, Southwest 
Pennsylvania Pipe Lines Company, Standard Oil Company, of California, Standard Oil Company, of Indiana, Standard Oil 
Company, of Iowa, Standard Oil Company, of Kansas, Standard Oil Company, of Kentucky, Standard Oil Company, of 
Nebraska, Standard Oil Company, of New York, Standard Oil Company, of Ohio, Swan and Finch Company, Union Tank Line 
Company, Vacuum Oil Company, Washington Oil Company, Waters-Pierce Oil Company, have entered into and became parties 
to this combination and are either actively operating or aiding in the operation of it; that by means of this combination the 
defendants named in this section have combined and conspired to monopolize, have monopolized, and are continuing to 
monopolize a substantial part of the commerce among the states, in the territories and with foreign nations, in violation of section 
2 of the anti-trust act."
740,*," * * SECTION 4.  That in the formation and execution of the combination or conspiracy the Standard Company has issued its stock 
to the amount of more than $90,000,000 in exchange for the stocks of other corporations which it holds, and it now owns and 
controls all of the capital stock of many corporations, a majority of the stock or controlling interests in some corporations and 
stock in other corporations as follows: Total Owned by Name of company. capital Standard Oil "
741,," stock. Company. Anglo-American Oil Company, Limited # 1,000,000 # 999,740 Atlantic Refining Company $5,000,000 $5,000,000 Borne-Scrymser Company"
741,200," ,000"
741,199," ,700 Buckeye Pipe Line Company"
741,10," ,000,000"
741,9," ,999,700 Chesebrough Manufacturing Company, Consolidated"
741,500," ,000"
741,277," ,700 Colonial Oil Company"
741,250," ,000"
741,249," ,300 Continental Oil Company"
741,300," ,000"
741,300," ,000 Crescent Pipe Line Company"
741,3," ,000,000"
741,3," ,000,000 Eureka Pipe Line Company"
741,5," ,000,000"
741,4," ,999,400 Galena-Signal Oil Company"
741,10," ,000,000"
741,7," ,079,500 Indiana Pipe Line Company"
741,1," ,000,000"
741,999," ,700 Lawrence Natural Gas Company "
742,450," ,000"
742,450," ,000 Mahoning Gas Fuel Company"
742,150," ,000"
742,149," ,900 Mountain State Gas Company"
742,500," ,000"
742,500," ,000 National Transit Company"
742,25," ,455,200"
742,25," ,451,650 New York Transit Company"
742,5," ,000,000"
742,5," ,000,000 Northern Pipe Line Company"
742,4," ,000,000"
742,4," ,000,000 Northwestern Ohio Natural Gas Company"
742,2," ,775,250"
742,1," ,649,450 Ohio Oil Company"
742,10," ,000,000"
742,9," ,999,850 People's Natural Gas Company"
742,1," ,000,000"
742,1," ,000,000 Pittsburg Natural Gas Company"
742,310," ,000"
742,310," ,000 Solar Refining Company"
742,500," ,000"
742,499," ,400 Southern Pipe Line Company"
742,10," ,000,000"
742,10," ,000,000 South Penn Oil Company"
742,2," ,500,000 "
743,2," ,500,000 Southwest Pennsylvania Pipe Lines"
743,3," ,500,000"
743,3," ,500,000 Standard Oil Company (of California)"
743,17," ,000,000"
743,16," ,999,500 Standard Oil Company (of Indiana)"
743,1," ,000,000"
743,999," ,000 Standard Oil Company (of Iowa)"
743,1," ,000,000"
743,1," ,000,000 Standard Oil Company (of Kansas)"
743,1," ,000,000"
743,999," ,300 Standard Oil Company (of Kentucky)"
743,1," ,000,000"
743,997," ,200 Standard Oil Company (of Nebraska)"
743,600," ,000"
743,599," ,500 Standard Oil Company (of New York)"
743,15," ,000,000"
743,15," ,000,000 Standard Oil Company (of Ohio)"
743,3," ,500,000"
743,3," ,499,400 Swan and Finch Company"
743,100," ,000"
743,100," ,000 Union Tank Line Company"
743,3," ,500,000"
743,3," ,499,400 Vacuum Oil Company"
743,2," ,500,000"
743,2," ,500,000 "
744,, Washington Oil Company
744,100," ,000"
744,71," ,480 Waters-Pierce Oil Company"
744,400," ,000"
744,274," ,700 "
745,," That the defendant National Transit Company, which is owned and controlled by the Standard Oil Company as aforesaid, owns 
and controls the amounts of the capital stocks of the following-named corporations and limited partnerships stated opposite 
each, respectively, as follows: Total Owned by Name of company. capital National Transit stock. Company. Connecting Gas Company $825,000 $412,000 Cumberland Pipe Line Company"
745,1," ,000,000"
745,998," ,500 East Ohio Gas Company"
745,6," ,000,000"
745,5," ,999,500 Franklin Pipe Company, Limited"
745,50," ,000"
745,19," ,500 Prairie Oil and Gas Company"
745,10," ,000,000"
745,9," ,999,500 "
746,," That the Standard Company has also acquired the control by the ownership of its stock or otherwise of the Security Oil 
Company, a corporation created under the laws of Texas, which owns a refinery at Beaumont in that State, and the Manhattan 
Oil Company, a corporation, which owns a pipe line situated in the States of Indiana and Ohio; that the Standard Company, and 
the corporations and partnerships named in Section 2, are engaged in the various branches of the business of producing, 
purchasing and transporting petroleum in the principal oil-producing districts of the United States, in New York, Pennsylvania, 
West Virginia, Tennessee, Kentucky, Ohio, Indiana, Illinois, Kansas, Oklahoma, Louisiana, Texas, Colorado and California, in 
shipping and transporting the oil through pipe lines owned or controlled by these companies from the various oil-producing 
districts into and through other states, in refining the petroleum and manufacturing it into various products, in shipping the 
petroleum and the products thereof into the states and territories of the United States, the District of Columbia and to foreign 
nations, in shipping the petroleum and its products in tank cars owned or controlled by the subsidiary companies into various 
states and territories of the United States and into the District of Columbia, and in selling the petroleum and its products in 
various places in the states and territories of the United States, in the District of Columbia and in foreign countries; that the 
Standard Company controls the subsidiary companies and directs the management thereof so that none of the subsidiary 
companies competes with any other of those companies or with the Standard Company, but their trade is all managed as that of 
a single person. "
791,1," See also p. 470, post. "
814,1," The Lake Shore & Michigan Southern Railway Company, the Chesapeake & Ohio Railway Company, the Hocking Valley 
Railway Company, the Toledo & Ohio Central Railway Company, the Kanawha & Michigan Railway Company, the Zanesville & 
Western Railway Company, the Sunday Creek Company, the Continental Coal Company, the Kanawha & Hocking Coal & Coke 
Company. "
819,2," ""In the event, however, that the said Supreme Court shall decide said commodity clause of said Hepburn Act constitutional, 
then said trustee shall dispose of the equity in said coal stocks sold and assigned to it in trust for the purposes of this agreement 
(subject, however, to the lien of the first consolidated mortgage, and its rights as pledgee trustee thereunder), when and as 
directed in writing by the persons, firms or corporations holding and owning of record a majority in amount of the stock of the 
Railway Company as hereinafter provided, and when such sale or distribution is made by the trustee hereunder, and the entire 
proceeds, whether of stocks, bonds, moneys, or other securities, shall have been actually paid to and received by the said 
trustee, then the said trustee shall distribute, less its proper charges and expenses, all such proceeds in kind received from the 
disposition of said stocks, among such persons, firms and corporations, their successors and assigns, as shall be stockholders "
820,," of record of the Railway Company on the first day of the months in which said proceeds and all of them shall have been finally 
received, pro rata in proportion to their said record holdings of stock of the Railway Company.  Any such sale or disposition, 
however, it is understood shall be made subject to the lien of the first consolidated mortgage thereon and to all the terms and 
conditions of the said mortgage, and only in the event that said Railway Company is not then in default of any requirement of 
said mortgage."""
820,3," The Columbus, Hocking Valley & Toledo, the Toledo & Ohio Central, the Columbus, Sandusky & Hocking, and the Kanawha & 
Michigan Railway Companies. "
821,4," Compare holding shown by stipulation (Rec. 572), with holding stated in Exhibit E, to bill. "
822,5," It should be stated that as early as June, 1905, provision was made by the Sunday Creek Company for purchasing certain trust 
certificates representing the beneficial interests in the stock of the other two coal companies which are parties to this cause, and 
this arrangement seems to have been carried out. "
828,6," I will refer to the Hocking Valley Railway Company as ""the Hocking""; to the Toledo & Ohio Central and the Zanesville & 
Western Railroads as ""the Central""; to the Kanawha & Michigan Railway Company as ""the Kanawha""; to the Lake Shore & 
Michigan Southern Railway Company as ""the Lake Shore""; and to the Chesapeake & Ohio Railway Company as ""the 
Chesapeake & Ohio"" or ""the C. & O."" "
829,7," I do not overlook the broad complaint that the rates from the Hocking district were too large in proportion to the rates from the 
Kanawha district; but, in fact, all rates were fixed with relation to the Pittsburgh-Ashtabula rate.  This rate was not made by these 
defendants, but it was the ""keystone of the arch."" When the Commission reduced this Pittsburgh rate from 88 to 78 cents, the 
Hocking voluntarily reduced its Hocking-Toledo rate from 85 to 75 cents, and the 75-cent rate has been sustained by the 
Commission.  See Interst. Com. Com'n R., opinion No. 1941, case No. 4274, New Pittsburgh Coal Co. v. Hocking Valley Ry. 
Co., vol. 24, p. 244."
829,8," At one time, the New York Central, the Erie and the Lehigh competed at Buffalo for the east-bound through traffic from the 
Lake Shore, and the Michigan Central, Grand Trunk, and Lake Shore competed for the westbound through traffic from the New 
York Central.  The purchase of the Lake Shore by the New York Central restricted, if it did not end, this competition, for not until 
June, 1910, could joint rates have been compelled, nor, if there had been through joint rates, did the shipper, until that time, 
have the right of relection.  See 36 Stat. at Large, 552, 553.  Formerly, a through joint route could be compelled only as there 
was no existing ""practicable"" through route. And see note 14 as to joint through routes after June, 1910. "
830,9," Without doubt, two parallel roads might join in building, from a common terminus, and owning a new road connecting with and 
continuing both.  Joining in buying an existing extension seems to stand, logically, on the same ground, unless, as matter of fact, 
the purchase was with the dominant purpose of stopping existing or normal competition."
830,10," The actual effect of the (theoretical) rate sustaining interrelationship is minimized by the fact that coal rates go by districts, and 
a change in one district would affect all the others.  (See note 2.) "
831,11," In the same way, when some tendency to maintain high rates is only an incident of the contract under attack, we may well 
remember that the shippers' meritorious grievance on this point is the maintenance of an unreasonable rate, and for that he has 
an effective remedy."
831,12," While each road is content with half the Kanawha traffic, and the Kanawha has the power to equalize, the agreement to divide 
tends to make both Ohio roads careless as to good service.  Now that the shipper has the absolute right of through routing, the 
Kanawha's power to equalize rests solely on its relations to the Sunday Creek mines, which originate a considerable part of the 
tonnage, available as an equalizing medium, so that here, too, the Sunday Creek ownership is the real evil.  With this removed, 
the agreement to divide the Kanawha traffic becomes comparatively ineffective, and the shippers' right of through routing must 
bring the freight solicitors to them in competition."
831,13," There was then (in 1899) no way of compelling the Kanawha to join the Hocking in a through route or joint rate; nor was there, 
indeed, in 1910.  (See note 14.)"
831,14," In March, 1910, the Commission could direct two roads to join in a through rate and route only, ""provided no reasonable or 
satisfactory through route exists."" 34 S.L. 590.  It seems clear that the Kanawha-Central route would have been made and kept 
a ""reasonable and satisfactory through route"" so that the power to compel the Kanawha to join with the Hocking never would 
have arisen.  In June, 1910, this proviso was cut out, but its place was taken by the provision (36 S.L., 552): ""And in establishing 
such through route, the commission shall not require any company, without its consent, to embrace in such route substantially "
832,," less than the entire length of its railroad and of any intermediate railroad operated in conjunction and under a common 
management or control therewith which lies between the termini of such proposed through route, unless to do so would make 
such through route unreasonably long as compared with another practicable through route which could otherwise be 
established."" This is awkwardly expressed, because of the lack of definite antecedent for ""to do so""; but it seems to mean that if 
the condition in 1899 was restored, and if the Hocking demanded from the Kanawha a joint through route, via either Athens or 
the river division, the Kanawha could not be required to comply, because such route would embrace substantially less than the 
entire length of the Kanawha to Corning, and less than the entire route between its termini, the Kanawha district and Toledo, 
over railroads ""operated in conjunction and under a common management and control."" So the Hocking solicitors, in the 
Kanawha district, would have been helpless."
832,15," That this was real, not pretended, is shown by what happened.  In 1909, the first full year before the change, the C. & O. 
delivered to the Kanawha for hauling over its line, 4,000 tons of coal and coke and 70,000 tons of other freight. In 1911, the first 
full year after the change, it so delivered 811,000 tons of coal and coke, and 168,000 tons of other freight. Between the same 
periods, southeasterly bound freight received by the C. & O. from the Kanawha increased from 122,000 tons to 199,000 tons.  
This enormous tonnage given by the C. & O. to the Kanawha was not merely diverted from the other connections of the C. & O., 
because there was no decrease in the tonnage given to these other connections. "
833,16," The Kanawha traffic to be divided was about twenty-five per cent. of the total traffic of the two Ohio roads.  This appears only 
as to the Hocking; I assume a similar ratio on the Central.  I reach this result by taking the figures for 1911 (Ex. 138) and 
excluding the south-bound tonnage from the total of Kanawha and excluding the C. & O. tonnage from total Kanawha and total 
Hocking. "
834,17," Up to July, 1909, the Hocking, Central, and Kanawha cars were pooled and used interchangeably on these roads.  During the 
nine months intermediate the end of this pooling arrangement and May 1, 1910, the date of full effect of the March contracts, the 
Central furnished to the Kanawha an average of 266 cars per month.  During the same months of 1910 and 1911 it so furnished 
an average of 1,466 per month."
834,18," In 1909 the New York Central lines were furnishing 1,600 cars per month to the Central; in 1911, 8,300 cars per month.  Coal 
production at the mines on the Central increased 500,000 tons for 1911 over 1909. "
835,19," Indeed, the entire subject-matter of this numbered paragraph should be disregarded for the same reason.  Paragraph 20 of 
the bill limits the issue to the charge of a continued combination between the Hocking, the Central, the Zanesville and the 
Kanawha.  It is important to know what the C. & O., as owner of the Kanawha, is doing with the Kanawha; but, to the issue 
tendered and made, it is immaterial whether the C. & O. is under disability to become the owner of the Kanawha. "
839,1," The Maytham Tug Line, the Hand & Johnson Tug Line, Ash, and others, Ashtabula Tug Company, Vessel Owners' Towing 
Company, Thompson Towing & Wrecking Association, Soo River Lighter & Wrecking Company, James Davidson, White Line 
Towing Company, Inman Tug Company, and Barry Bros., Independent Tug Line."
839,2," The Cleveland Tug Company, the American Transportation Company, the Westcott Wrecking Company, Ltd. (whose name 
was thereupon changed to the Great Lakes Towing Company, Ltd.), the Dunham Towing & Wrecking Company, the Escanaba 
Towing & Wrecking Company, Dewhirst, and others, Sault Ste. Marie Tug Company, Hartman, and others, and Gilchrist. "
843,3," Two Harbors, Minnesota; Ft. William, Port Arthur, Michipicoten, Parry Sound, Depot Harbor, Midland, Collingwood, Owen 
Sound, Kincardin, Goderich, Port Dalhousie, Canada; Ontonagon, Houghton and Hancock, Manistique, Gladstone, Cheboygan, 
Petoskey, Traverse City, Manistee, Ludington, Muskegon, Grand Haven, Holland, South Haven, Benton Harbor, Alpena, 
Saginaw, Bay City, Harbor Beach, Mich.; Menominee, Green Bay, Two Rivers, Manitowoc, Sheboygan, Milwaukee, Racine, 
Kenosha, Waukegan, Wis. "
898,1," For abstracts of arguments see ante, p. 579."
898,1," For abstracts of arguments see ante, p. 579. "
1002,*, 225 F. 373. -- REPORTER. 
1019,1," At the former hearing the case was argued by Mr. Solicitor General Davis, Mr. Assistant to the Attorney General Todd and Mr. 
Henry E. Colton, Special Assistant to the Attorney General.  Mr. Attorney General Gregory and Mr. Robert Szold also were on 
the brief, from which the argument is abstracted. "
1027,1," As bearing upon the power obtained and what the Corporation did we give other citations from Judge Woolley's opinion as 
follows: ""The ore reserves acquired by the corporation at and subsequent to its organization, the relation which such reserves bear to ore 
bodies then existing and subsequently discovered, and their bearing upon the question of monopoly of raw materials, are 
matters which have been discussed in the preceding opinion, and with the reasoning as well as with the conclusion that the 
corporation has not a monopoly of the raw materials of the steel industry, I am in entire accord."" ""Further inquiring whether the corporation inherently possesses monopolistic power attention is next given to its proportion of the 
manufacture and sale of finished iron and steel products of the industry.  Upon This subject there is a great volume of testimony, 
a detailed consideration of which in an opinion would be quite inexcusable.  As a last analysis of this testimony, it is sufficient to 
say it shows that, large as was the corporation, and substantial as was its proportion of the business of the industry, the 
corporation was not able in the first ten years of its history to maintain its position in the increase of trade.  During that period, its 
proportion of the domestic business decreased from 50.1 per cent. to 40.9 per cent. and its increase of business during that 
period was but 40.6 per cent. of its original volume.  Its increase of business, measured by percentage, was exceeded by eight 
of its competitors, whose increase of business, likewise measured by percentage, ranged from 63 to 3779.  This disparity in the 
increase of production indicates that the power of the corporation is not commensurate with its size, and that the size and the 
consequent power of the corporation are not sufficient to retard prosperous growth of efficient competitors. ""from the vast amount of testimony, it is conclusively shown that the Steel Corporation did not attempt to exert a power, if such it 
possessed, to oppress and destory its competitors, and it is likewise disclosed by the history of the industry subsequent to the "
1028,," organization of the corporation that if it had made such an attempt it would have failed.  It is also shown by the testimony that, 
acting independently and relying alone upon its power and wealth, great as they were, the corporation has never been able to 
dominate the steel industry by controlling the supply of raw materials, restraining production of finished products, or enhancing 
and maintaining the prices of either."" "
1046,1," Hurley's, Awakening of Business. "
1079,1," At the first and second hearings the case was argued by Mr Solicitor General Davis and Mr. Assistant to the Attorney General 
Todd.  Mr. Attorney General Gregory and Mr. Thurlow M. Gordon, Special Assistant to the Attorney General, also were on the 
brief."
1079,2, At the first hearing Mr. John G. Johnson argued the case for the Philadelphia & Reading Coal & Iron Company. 
1085,1," United States v. Reading Co., 183 Fed. Rep. 427; United States v. Reading Co., 226 Fed. Rep. 229; United States v. 
Delaware & Hudson Co., 213 U.S. 366; United States v. Lehigh Valley R.R. Co., 220 U.S. 257; United States v. Delaware, 
Lackawanna & Western R.R. Co., 238 U.S. 516; United States v. Reading Co., 226 U.S. 324. "
1116,*," Rehearing denied April 12, 1922. "
1179,*," Headnote. Monopolies, 27 Cyc., p. 902 (1926 Anno). "
1220,*," Headnotes 1. Contracts, 13 C. J., Section 427; 2. Sales, 35 Cyc., p. 600. "
