Page,Label,Text
15,15," Respondents offer no reason to suppose that entry into the 
relevant market is especially difficult, yet without barriers to 
entry it would presumably be impossible to maintain 
supracompetitive prices for an extended time.  Judge 
Easterbrook, commenting on this case in a law review article, 
offers the following sensible assessment: ""The plaintiffs [in this case] maintain that for the last fifteen 
years or more at least ten Japanese manufacturers have sold 
TV sets at less than cost in order to drive United States firms 
out of business.  Such conduct cannot possibly produce profits 
by harming competition, however.  If the Japanese firms drive 
some United States firms out of business, they could not 
recoup. Fifteen years of losses could be made up only by very 
high prices for the indefinite future.  (The losses are like 
investments, which must be recovered with compound 
interest.) If the defendants should try to raise prices to such a 
level, they would attract new competition.  There are no 
barriers to entry into electronics, as the proliferation of 
computer and audio firms shows.  The competition would 
come from resurgent United States firms, from other foreign 
firms (Korea and many other nations make TV sets), and from 
defendants themselves.  In order to recoup, the Japanese 
firms would need to suppress competition among themselves.  
On plaintiffs' theory, the cartel would need to last at least thirty 
years, far longer than any in history, even when cartels were 
not illegal.  None should be sanguine about the prospects of 
such a cartel, given each firm's incentive to shave price and 
expand its share of sales.  The predation recoupment story 
therefore does not make sense, and we are left with the more 
plausible inference that the Japanese firms did not sell below 
cost in the first place.  They were just engaged in hard 
competition."" Easterbrook, The Limits of Antitrust, 63 Texas L. 
Rev. 1, 26-27 (1984) (footnotes omitted).
"
15,16," The alleged predatory scheme makes sense only if 
petitioners can recoup their losses.  In light of the large"
15,13," NUE's complaint alleges that petitioners' conspiracy began 
as early as 1960; the starting date used in Zenith's complaint 
is 1953.  NUE Complaint para. 52; Zenith Complaint para. 39."
15,14," During the same period, the number of American firms 
manufacturing television sets declined from 19 to 13.  5 App. 
to Brief for Appellant in No. 81-2331 (CA3), p. 1961a.  This 
decline continued a trend that began at least by 1960, when 
petitioners' sales in the United States market were negligible.  
Ibid.  See Zenith Complaint paras. 35, 37."
16,," number of firms involved here, petitioners can achieve this 
only by engaging in some form of price fixing after they have 
succeeded in driving competitors from the market.  Such price 
fixing would, of course, be an independent violation of § 1 of 
the Sherman Act. United States v. Socony-Vacuum Oil Co., 
310 U.S. 150 (1940).
"
16,17," The predators' losses must actually increase as the 
conspiracy nears its objective: the greater the predators' 
market share, the more products the predators sell; but since 
every sale brings with it a loss, an increase in market share 
also means an increase in predatory losses."
16,18," The same is true of any supposed excess production 
capacity that petitioners may have possessed.  The existence 
of plant capacity that exceeds domestic demand does tend to 
establish the ability to sell products abroad.  It does not, 
however, provide a motive for selling at prices lower than 
necessary to obtain sales; nor does it explain why petitioners 
would be willing to lose money in the United States market 
without some reasonable prospect of recouping their 
investment."
16,19," Respondents also rely on an expert study suggesting that 
petitioners have sold their products in the American market at 
substantial losses.  The relevant study is not based on actual 
cost data; rather, it consists of expert opinion based on a 
mathematical construction that in turn rests on assumptions 
about petitioners' costs.  The District Court analyzed those 
assumptions in some detail and found them both implausible 
and inconsistent with record evidence.  Zenith Radio Corp. v. 
Matsushita Electric Industrial Co., 505 F.Supp., at 1356-1363. 
Although the Court of Appeals reversed the District Court's 
finding that the expert report was inadmissible, the court did 
not disturb the District Court's analysis of the factors that 
substantially undermine the probative value of that evidence.  
See 723 F.2d, at 277-282. We find the District Court's analysis 
persuasive.  Accordingly, in our view the expert opinion 
evidence of below-cost pricing has little probative value in 
comparison with the economic factors, discussed in Part IV-A, 
supra, that suggest that such conduct is irrational."
17,20," The Court of Appeals correctly reasoned that the five 
company rule might tend to insulate petitioners from 
competition with each other.  723 F.2d, at 306. But this effect 
is irrelevant to a conspiracy to price predatorily.  Petitioners 
have no incentive to underprice each other if they already are 
pricing below the level at which they could sell their goods.  
The far more plausible inference from a customer allocation 
agreement such as the five company rule is that petitioners 
were conspiring to raise prices, by limiting their ability to take 
sales away from each other.  Respondents -- petitioners' 
competitors -- suffer no harm from a conspiracy to raise 
prices.  Supra, at 582-583.  Moreover, it seems very unlikely 
that the five company rule had any significant effect of any 
kind, since the ""rule"" permitted petitioners to sell to their 
American subsidiaries, and did not limit the number of 
distributors to which the subsidiaries could resell.  513 
F.Supp., at 1190."
18,21," We do not imply that, if petitioners had had a plausible 
reason to conspire, ambiguous conduct could suffice to create 
a triable issue of conspiracy. Our decision in Monsanto Co. v. 
Spray-Rite Service Corp., 465 U.S. 752 (1984), establishes 
that HN5[
] conduct that is as consistent with permissible 
competition as with illegal conspiracy does not, without more, 
support even an inference of conspiracy. Id., at 763-764. See 
supra, at 588."
19,1," The Court adequately summarizes the quite fact-specific 
holding in Cities Service.  Ante, at 587. In Monsanto, the Court held that a manufacturer's termination 
of a price-cutting distributor after receiving a complaint from 
another distributor is not, standing alone, sufficient to create a 
jury question.  465 U.S., at 763-764. To understand this 
holding, it is important to realize that under United States v. 
Colgate & Co., 250 U.S. 300 (1919), it is permissible for a 
manufacturer to announce retail prices in advance and 
terminate those who fail to comply, but that under Dr. Miles 
Medical Co. v. John D. Park & Sons Co., 220 U.S. 373 (1911), 
it is impermissible for the manufacturer and its distributors to 
agree on the price at which the distributors will sell the goods.  
Thus, a manufacturer's termination of a price-cutting distributor 
after receiving a complaint from another distributor is lawful 
"
19,," under Colgate, unless the termination is pursuant to a shared 
understanding between the manufacturer and its distributors 
respecting enforcement of a resale price maintenance 
scheme.  Monsanto holds that to establish liability under Dr. 
Miles, more is needed than evidence of behavior that is 
consistent with a distributor's exercise of its prerogatives under 
Colgate.  Thus, ""[there] must be evidence that tends to 
exclude 
the 
possibility 
that 
the 
manufacturer 
and 
nonterminated distributors were acting independently."" 465 
U.S., at 764. Monsanto does not hold that if a terminated 
dealer produces some further evidence of conspiracy beyond 
the bare fact of postcomplaint termination, the judge hearing a 
motion for summary judgment should balance all the evidence 
pointing toward conspiracy against all the evidence pointing 
toward independent action.
"
20,," coordination, and other allegedly anti-competitive practices of 
petitioners:
 ""The impact of Japanese anti-competitive practices on United 
States manufacturers is evident when one considers the 
nature of competition.  When a market is fully competitive, 
firms pit their resources against one another in an attempt to 
secure the business of individual customers.  However, when 
firms collude, they violate a basic tenet of competitive 
behavior, i. e., that they act independently.  United States 
firms were confronted with Japanese competitors who 
collusively were seeking to destroy their established customer 
relationships.  Each Japanese company had targeted 
customers which it could service with reasonable assurance 
that its fellow Japanese cartel members would not become 
involved.  But just as importantly, each Japanese firm would 
be assured that what was already a low price level for 
Japanese television receivers in the United States market 
would not be further depressed by the actions of its Japanese 
associates.
 ""The result was a phenomenal growth in exports, particularly 
to the United States.  Concurrently, Japanese manufacturers, 
and the defendants in particular, made large investments in 
new plant and equipment and expanded production capacity.  
It is obvious, therefore, that the effect of the Japanese cartel's 
concerted actions was to generate a larger volume of 
investment in the Japanese television industry than would 
otherwise have been the case.  This added capacity both 
enabled and encouraged the Japanese to penetrate the 
United States market more deeply than they would have had 
they competed lawfully."" Id., at 1628a-1629a.
 For a more complete statement of DePodwin's explanation of 
how the alleged cartel operated, and the harms it caused 
respondents, see id., at 1609a-1642a.  This material is 
summarized in a chart found id., at 1633a.
"
20,4," In holding that Parts IV and V of the Report had been 
improperly excluded, the Court of Appeals said: ""The trial court found that DePodwin did not use economic 
expertise in reaching the opinion that the defendants 
participated in a Japanese television cartel. 505 F.Supp. at 
1342-46. We have examined the excluded portions of Parts IV 
and V in light of the admitted portions, and we conclude that 
this finding is clearly erroneous.  As a result, the court also 
"
20,2," Dr. DePodwin summarizes his view of the harm caused by 
Japanese cartelization as follows: ""When we consider the injuries inflicted on United States 
producers, we must again look at the Japanese television 
manufacturers' export agreement as part of a generally 
collusive scheme embracing the Japanese domestic market 
as well.  This scheme increased the supply of television 
receivers to the United States market while restricting supply 
in the Japanese market.  If Japanese manufacturers had 
competed in both domestic and export markets, they would 
have sold more in the domestic market and less in the United 
States.  A greater proportion of Japanese production capacity 
would have been devoted to domestic sales.  Domestic prices 
would have been lower and export prices would have been 
higher.  The size of the price differential between domestic 
and export markets would have diminished practically to the 
vanishing point.  Consequently, competition among Japanese 
producers in both markets would have resulted in reducing 
exports to the United States and United States prices would 
have risen.  In addition, investment by the United States 
industry would have increased.  As it was, however, the influx 
of sets at depressed prices cut the rates of return on television 
receiver production facilities in the United States to so low a 
level as to make such investment uneconomic.
 ""We can therefore conclude that the American manufacturers 
of television receivers would have made larger sales at higher 
prices in the absence of the Japanese cartel agreements.  
Thus, 
the 
collusive 
behavior 
of 
Japanese 
television 
manufacturers resulted in a very severe injury to those 
American television manufacturers, particularly to National 
Union Electric Corporation, which produced a preponderance 
of television sets with screen sizes of nineteen inches and 
lower, especially those in the lower range of prices."" 5 App. to 
Brief for Appellants in No. 81-2331 (CA3), pp. 1629a-1630a.
"
20,3," The DePodwin Report has this, among other things, to say in 
summarizing the harm to respondents caused by the five 
company 
rule, 
exchange 
of 
production 
data, 
price"
21,," held the opinions to be unhelpful to the factfinder. What the 
court in effect did was to eliminate all parts of the report in 
which the expert economist, after describing the conditions in 
the respective markets, the opportunities for collusion, the 
evidence pointing to collusion, the terms of certain undisputed 
agreements, and the market behavior, expressed the opinion 
that there was concert of action consistent with plaintiffs' 
conspiracy theory.  Considering the complexity of the 
economic issues involved, it simply cannot be said that such 
an opinion would not help the trier of fact to understand the 
evidence or determine that fact in issue."" In re Japanese 
Electronics Products Antitrust Litigation, 723 F.2d 238, 280 
(1983).
 The Court of Appeals had similar views about Parts VI and VII.
"
21,5," I use the Third Circuit's analysis of the five company rule by 
way of example; the court did an equally careful analysis of 
the parts the cartel activity in Japan and the check prices 
could have played in an actionable conspiracy. See generally 
id., at 303-311. In discussing the five-company rule, I do not mean to imply 
any conclusion on the validity of petitioners' sovereign 
compulsion defense.  Since the Court does not reach this 
issue, I see no need of my addressing it.
"
